Date,Open,High,Low,Close,Volume,Adj Close
2008-10-13,90.44,99.00,84.35,90.78,15009700,87.66
2008-10-06,101.21,103.00,83.51,87.75,17369700,84.74
2008-09-29,117.44,118.43,103.03,103.44,12561800,99.89
2008-09-22,118.45,121.99,114.14,119.42,6946100,115.32
2008-09-15,115.36,124.00,110.61,118.85,13261400,114.77
2008-09-08,118.00,119.95,115.00,118.97,9356700,114.89
2008-09-02,122.87,124.00,113.17,114.33,10502900,110.41
2008-08-25,124.48,125.45,121.50,121.73,6098700,117.55
2008-08-18,126.49,127.00,121.55,124.93,6891400,120.64
2008-08-11,128.43,128.43,124.40,126.36,6544800,122.02
2008-08-04,126.77,129.97,126.25,128.81,6882700,124.39
2008-07-28,127.69,129.50,126.13,126.64,5739800,121.82
2008-07-21,129.83,130.93,127.26,128.53,9190000,123.64
2008-07-14,123.51,130.00,119.90,129.89,11908500,124.95
2008-07-07,119.62,124.50,119.62,122.12,9469200,117.47
2008-06-30,120.03,120.78,116.60,119.54,8179200,114.99
2008-06-23,123.00,125.83,118.26,120.05,8381500,115.48
2008-06-16,125.46,127.14,122.36,122.74,7073500,118.07
2008-06-09,125.38,126.72,122.86,126.15,6260700,121.35
2008-06-02,128.49,129.37,124.74,124.94,7057900,120.18
2008-05-27,124.01,129.99,124.00,129.43,8269800,124.50
2008-05-19,127.68,128.21,123.02,124.20,6293900,119.47
2008-05-12,123.82,128.83,123.56,127.82,8169700,122.96
2008-05-05,122.29,125.17,120.78,124.06,7794600,119.34
2008-04-28,122.61,124.43,120.50,123.18,7221200,118.01
2008-04-21,123.62,124.90,122.05,123.08,6454700,117.91
2008-04-14,116.20,125.00,115.54,124.40,13439000,119.18
2008-04-07,116.37,119.22,115.28,116.00,7797900,111.13
2008-03-31,114.15,118.37,113.34,115.76,8475200,110.90
2008-03-24,118.57,119.79,114.21,114.57,8299300,109.76
2008-03-17,113.00,118.50,113.00,118.33,9994700,113.36
2008-03-10,113.12,118.00,112.69,115.23,9718900,110.39
2008-03-03,113.86,116.41,111.80,113.94,7901300,109.16
2008-02-25,107.43,116.63,107.43,113.86,10873300,109.08
2008-02-19,106.94,109.60,104.53,108.07,7823100,103.53
2008-02-11,103.05,108.93,102.87,106.16,6786500,101.70
2008-02-04,108.67,109.00,100.60,103.27,8128300,98.94
2008-01-28,104.44,109.40,103.70,109.08,7801500,104.10
2008-01-22,98.55,107.79,98.50,104.52,14442100,99.75
2008-01-14,105.01,106.72,100.05,103.40,15625200,98.68
2008-01-07,100.25,101.00,97.04,97.67,10520300,93.21
2007-12-31,109.51,110.00,100.48,101.13,8449800,96.52
2007-12-24,111.20,112.19,109.11,110.09,4134900,105.07
2007-12-17,105.37,111.16,104.00,111.05,8696300,105.98
2007-12-10,109.38,110.40,104.10,105.77,7345100,100.94
2007-12-03,105.55,110.00,104.58,108.86,6334400,103.89
2007-11-26,104.26,109.19,101.50,105.18,9313900,100.38
2007-11-19,104.34,105.39,101.34,104.05,6955100,99.30
2007-11-12,101.89,106.42,100.70,104.79,10020500,100.01
2007-11-05,115.11,115.11,99.27,100.25,12543600,95.68
2007-10-29,113.90,116.25,113.28,114.59,6008900,108.98
2007-10-22,110.97,114.80,110.96,113.73,6552500,108.16
2007-10-15,117.95,119.94,111.80,112.28,10791700,106.78
2007-10-08,116.10,121.46,115.88,117.81,7016400,112.04
2007-10-01,117.61,119.60,115.00,116.30,6705900,110.60
2007-09-24,116.90,118.50,115.79,117.80,6605800,112.03
2007-09-17,114.70,118.10,114.30,116.78,7615300,111.06
2007-09-10,116.15,117.78,114.65,115.13,6442200,109.49
2007-09-04,116.34,118.89,115.33,115.55,7229000,109.89
2007-08-27,113.00,117.35,111.63,116.69,6523500,110.97
2007-08-20,110.90,113.25,108.08,113.24,7991500,107.69
2007-08-13,112.99,113.95,103.70,110.90,11077700,105.47
2007-08-06,111.97,114.60,109.70,112.64,8325300,107.12
2007-07-30,115.00,115.75,110.02,111.89,13232300,106.03
2007-07-23,114.88,118.82,114.85,115.62,12968200,109.57
2007-07-16,108.57,116.48,108.42,114.81,11125200,108.80
2007-07-09,108.73,109.65,108.10,108.60,6962300,102.91
2007-07-02,105.39,109.66,104.58,109.03,6141800,103.32
2007-06-25,104.73,106.92,104.10,105.25,6311800,99.74
2007-06-18,105.27,107.02,104.44,104.44,7010200,98.97
2007-06-11,102.87,105.19,102.10,105.09,6903400,99.59
2007-06-04,106.50,106.59,101.56,103.07,12637100,97.67
2007-05-29,105.57,107.67,105.21,106.54,5802000,100.96
2007-05-21,107.67,108.00,103.57,105.18,6054300,99.67
2007-05-14,105.81,108.05,104.53,107.99,7002800,102.34
2007-05-07,102.76,105.99,102.21,105.98,6995800,100.43
2007-04-30,101.11,103.17,100.97,102.96,7661500,97.19
2007-04-23,95.16,101.70,95.05,101.17,11655000,95.50
2007-04-16,94.99,97.66,93.91,94.58,10357300,89.28
2007-04-09,96.43,96.94,94.53,94.93,5499400,89.61
2007-04-02,94.51,96.75,94.06,96.52,4799400,91.11
2007-03-26,95.00,95.25,93.57,94.26,6808500,88.98
2007-03-19,93.95,95.81,93.39,95.03,5381300,89.71
2007-03-12,93.29,94.47,92.10,93.25,7284600,88.03
2007-03-05,90.25,94.85,90.10,93.28,8701000,88.05
2007-02-26,97.86,97.86,88.77,90.90,10485400,85.81
2007-02-20,98.66,99.50,97.41,97.73,5170600,92.25
2007-02-12,98.80,99.52,97.80,98.99,5409500,93.44
2007-02-05,99.17,100.44,97.81,98.55,6933600,93.03
2007-01-29,97.70,99.73,97.45,99.17,6834400,93.33
2007-01-22,96.42,97.92,96.12,97.45,8309800,91.71
2007-01-16,99.40,100.90,94.55,96.17,14640900,90.51
2007-01-08,98.50,100.33,97.93,99.34,8966000,93.49
2007-01-03,97.18,98.79,96.26,97.42,8980800,91.69
2006-12-26,95.00,97.88,94.92,97.15,3951900,91.43
2006-12-18,94.95,96.50,94.80,95.25,4801900,89.64
2006-12-11,93.72,95.80,93.30,95.30,6082900,89.69
2006-12-04,92.50,94.87,92.25,93.86,5758400,88.34
2006-11-27,92.71,93.24,90.43,91.25,5557000,85.88
2006-11-20,93.60,93.80,92.80,93.35,3389900,87.86
2006-11-13,91.55,94.05,91.41,93.81,4765300,88.29
2006-11-06,91.50,93.40,91.50,91.76,5891300,86.36
2006-10-30,89.80,92.68,89.80,91.41,6021700,85.75
2006-10-23,90.05,92.00,90.01,90.76,7007400,85.14
2006-10-16,86.08,92.04,85.75,90.48,13573200,84.88
2006-10-09,83.14,86.21,83.00,86.08,5372800,80.75
2006-10-02,81.76,83.78,81.56,83.14,5147700,77.99
2006-09-25,81.65,82.79,81.28,81.94,5131600,76.87
2006-09-18,82.56,83.79,81.01,81.21,6058000,76.18
2006-09-11,80.60,83.59,80.25,82.94,5485100,77.81
2006-09-05,81.19,81.54,79.31,80.66,4027000,75.67
2006-08-28,79.91,81.68,79.76,81.41,4447300,76.37
2006-08-21,79.51,80.00,78.42,79.88,3612000,74.94
2006-08-14,76.05,79.97,75.60,79.90,5860700,74.95
2006-08-07,75.63,76.28,75.05,75.48,3810900,70.81
2006-07-31,76.44,77.50,75.32,75.91,4180100,70.93
2006-07-24,74.92,77.30,74.92,76.96,5133200,71.91
2006-07-17,73.35,77.06,72.73,74.86,10122900,69.95
2006-07-10,76.18,76.83,73.37,73.57,7465100,68.74
2006-07-03,77.54,78.53,76.12,76.42,4549900,71.40
2006-06-26,77.04,77.93,76.06,76.82,5359500,71.78
2006-06-19,77.90,78.56,76.94,77.10,5414000,72.04
2006-06-12,77.63,78.78,76.82,77.95,6630100,72.83
2006-06-05,79.10,80.74,76.75,77.63,8068200,72.54
2006-05-30,80.35,80.96,79.15,79.52,5883200,74.30
2006-05-22,79.83,81.30,79.06,80.75,5244500,75.45
2006-05-15,81.80,83.25,79.51,80.28,5725900,75.01
2006-05-08,82.60,83.69,82.30,82.39,4463900,76.98
2006-05-01,82.59,83.34,82.00,83.28,4908000,77.53
2006-04-24,81.30,84.40,81.10,82.34,7297000,76.66
2006-04-17,81.92,84.00,81.26,81.66,7089800,76.03
2006-04-10,82.27,82.74,80.63,81.98,4573000,76.32
2006-04-03,82.72,84.45,82.44,82.48,4756000,76.79
2006-03-27,82.98,83.70,82.20,82.47,4627900,76.78
2006-03-20,83.11,84.99,82.93,83.36,5109500,77.61
2006-03-13,81.56,83.76,81.45,83.30,5034700,77.55
2006-03-06,79.91,82.25,79.86,81.57,4741600,75.94
2006-02-27,79.97,80.89,79.51,79.96,4738600,74.44
2006-02-21,80.10,81.65,79.85,80.10,5003700,74.57
2006-02-13,81.33,81.91,80.13,80.71,5398800,75.14
2006-02-06,79.94,81.46,78.93,81.33,6565200,75.72
2006-01-30,80.21,82.24,79.72,79.97,6713200,74.27
2006-01-23,81.33,82.15,80.59,81.02,6494200,75.24
2006-01-17,82.80,84.70,81.25,81.36,8698100,75.56
2006-01-09,83.90,84.81,82.50,83.17,6034600,77.24
2006-01-03,82.45,85.03,80.81,84.95,9239500,78.89
2005-12-27,83.48,84.50,81.56,82.20,4405500,76.34
2005-12-19,83.23,84.20,82.06,83.48,5459600,77.53
2005-12-12,87.01,87.35,82.75,83.37,7861000,77.42
2005-12-05,88.40,89.92,86.33,86.97,5285500,80.77
2005-11-28,88.80,89.94,88.36,88.65,5153000,82.33
2005-11-21,87.60,89.39,86.88,88.80,4548200,82.47
2005-11-14,84.25,88.00,84.03,87.77,6143900,81.51
2005-11-07,83.10,84.84,82.30,84.55,4352500,78.52
2005-10-31,81.51,83.30,80.64,83.00,6230800,76.90
2005-10-24,83.15,83.95,80.50,81.42,5158600,75.43
2005-10-17,82.36,84.60,81.93,83.33,7857200,77.20
2005-10-10,81.24,83.52,81.08,82.35,7269800,76.29
2005-10-03,80.22,81.47,78.70,80.50,6184300,74.58
2005-09-26,78.31,80.55,76.93,80.22,6023300,74.32
2005-09-19,79.74,79.98,77.30,78.00,6340300,72.26
2005-09-12,81.03,82.11,79.67,80.33,5022000,74.42
2005-09-06,79.70,81.52,79.70,81.44,4670300,75.45
2005-08-29,80.00,81.75,79.34,79.46,5034300,73.62
2005-08-22,82.75,83.35,80.26,80.38,4442100,74.47
2005-08-15,81.90,83.30,80.80,82.76,4577100,76.67
2005-08-08,83.41,84.01,81.62,82.19,4513700,76.14
2005-08-01,83.00,84.20,82.73,83.36,4453100,77.04
2005-07-25,83.98,84.52,82.81,83.46,4876500,77.14
2005-07-18,81.99,85.11,81.68,84.44,9002800,78.04
2005-07-11,79.40,82.75,78.52,82.38,9132500,76.14
2005-07-05,74.38,79.52,74.16,79.30,9347200,73.29
2005-06-27,74.01,75.68,73.45,74.67,6135500,69.01
2005-06-20,76.03,77.49,74.00,74.01,6657900,68.40
2005-06-13,74.50,77.73,74.45,76.39,6713600,70.60
2005-06-06,75.80,76.09,74.10,74.77,4960800,69.10
2005-05-31,77.30,77.50,75.50,75.79,5993700,70.05
2005-05-23,76.30,77.41,75.17,77.10,4979900,71.26
2005-05-16,73.09,77.64,73.09,76.41,6861300,70.62
2005-05-09,75.26,75.46,72.50,73.16,6745400,67.62
2005-05-02,76.88,78.11,74.97,75.26,7812600,69.56
2005-04-25,75.10,77.18,74.05,76.38,10222400,70.41
2005-04-18,77.15,77.75,71.85,74.21,14018000,68.41
2005-04-11,87.35,87.56,76.33,76.70,12428800,70.70
2005-04-04,90.08,90.62,87.50,87.60,5535500,80.75
2005-03-28,90.71,91.76,90.04,90.44,5110600,83.37
2005-03-21,89.42,91.55,89.26,90.70,4726000,83.61
2005-03-14,91.50,92.27,89.09,89.28,5153500,82.30
2005-03-07,92.35,93.00,91.20,91.51,4912500,84.35
2005-02-28,92.53,93.73,92.20,92.37,4405700,85.14
2005-02-22,92.67,93.50,91.55,92.80,4670000,85.54
2005-02-14,93.16,94.97,92.90,93.27,4000500,85.97
2005-02-07,94.35,94.90,92.30,93.30,4220700,86.00
2005-01-31,93.65,94.74,93.00,94.51,3946200,86.95
2005-01-24,92.70,93.59,91.44,92.89,5533500,85.46
2005-01-18,93.65,95.34,92.23,92.38,7139000,84.99
2005-01-10,95.78,96.20,93.55,94.10,5212000,86.57
2005-01-03,98.97,99.10,95.47,95.78,5483000,88.12
2004-12-27,97.69,99.00,97.37,98.58,3500200,90.70
2004-12-20,96.35,98.00,96.35,97.72,4538100,89.90
2004-12-13,96.85,98.15,96.08,96.20,5544000,88.51
2004-12-06,96.88,98.25,95.71,96.67,5390500,88.94
2004-11-29,94.94,97.63,94.24,97.08,5882700,89.32
2004-11-22,94.30,95.79,94.16,94.72,4324700,87.14
2004-11-15,95.08,96.63,94.25,94.45,5451900,86.90
2004-11-08,92.50,95.50,92.50,95.32,5618100,87.70
2004-11-01,89.33,93.52,89.23,93.28,6152500,85.65
2004-10-25,87.36,90.27,87.31,89.75,5578000,82.41
2004-10-18,84.30,89.73,84.29,87.39,7985500,80.25
2004-10-11,86.77,87.20,84.30,84.85,4891300,77.91
2004-10-04,87.00,88.10,86.51,86.71,4260600,79.62
2004-09-27,84.10,86.98,83.88,86.72,4493000,79.63
2004-09-20,85.40,86.43,83.24,84.43,4633500,77.53
2004-09-13,87.00,87.28,85.44,85.74,4641500,78.73
2004-09-07,84.70,87.00,84.60,86.76,4498700,79.67
2004-08-30,84.57,85.09,83.65,84.39,3457200,77.49
2004-08-23,85.23,85.45,84.35,84.94,3391100,78.00
2004-08-16,83.70,85.35,83.51,85.25,4304800,78.28
2004-08-09,83.48,84.99,81.90,83.91,5239300,77.05
2004-08-02,86.87,87.39,83.42,83.48,4163000,76.66
2004-07-26,84.85,87.40,84.51,87.07,4584600,79.78
2004-07-19,84.50,87.11,84.40,84.85,5612600,77.75
2004-07-12,84.00,86.48,83.42,84.28,7167300,77.23
2004-07-06,86.50,86.73,83.51,83.89,6552400,76.87
2004-06-28,89.71,89.90,86.57,87.04,4302000,79.76
2004-06-21,90.40,90.92,88.94,89.55,4404300,82.06
2004-06-14,90.05,91.21,89.62,90.06,4485200,82.52
2004-06-07,88.75,90.75,88.01,90.46,4591700,82.89
2004-06-01,88.00,88.64,87.30,87.56,3902900,80.23
2004-05-24,87.75,89.08,86.55,88.59,4148500,81.18
2004-05-17,85.30,88.88,85.15,87.13,5338800,79.84
2004-05-10,87.60,88.15,85.12,86.41,6323800,79.18
2004-05-03,88.13,89.75,87.20,88.19,5130100,80.81
2004-04-26,90.75,91.99,88.01,88.17,5358000,80.63
2004-04-19,91.90,92.48,89.70,91.28,5218800,83.47
2004-04-12,93.50,94.36,91.04,92.28,6280900,84.39
2004-04-05,93.95,94.39,92.51,93.12,4050300,85.15
2004-03-29,92.99,94.55,91.35,94.20,5009300,86.14
2004-03-22,91.27,93.25,90.28,92.77,5496500,84.83
2004-03-15,92.60,93.79,90.88,91.62,5495500,83.78
2004-03-08,96.49,96.88,91.15,93.30,6572500,85.32
2004-03-01,96.50,97.60,95.56,96.45,4351100,88.20
2004-02-23,97.40,97.51,95.20,96.50,5136100,88.24
2004-02-17,99.99,100.00,97.19,97.31,4974500,88.99
2004-02-09,99.31,100.31,98.41,99.71,4095900,91.18
2004-02-02,99.15,100.43,98.25,98.94,6336700,90.48
2004-01-26,97.90,99.85,96.55,99.23,6172900,90.59
2004-01-20,96.00,98.21,95.73,97.90,6472400,89.38
2004-01-12,91.21,95.65,89.01,95.32,9718400,87.02
2004-01-05,92.00,93.38,91.00,91.21,5738900,83.27
2003-12-29,93.10,93.73,91.20,91.55,4523000,83.58
2003-12-22,92.83,93.50,92.18,92.90,2794500,84.82
2003-12-15,93.43,94.12,91.88,93.14,6696500,85.03
2003-12-08,90.52,93.16,90.52,92.71,6188600,84.64
2003-12-01,90.90,91.48,90.03,90.64,5547000,82.75
2003-11-24,89.03,90.68,88.95,90.54,3842500,82.66
2003-11-17,89.90,90.18,88.23,88.63,5047100,80.92
2003-11-10,89.55,91.48,88.89,90.25,5776100,82.40
2003-11-03,89.90,90.84,87.72,88.26,5695900,80.58
2003-10-27,88.80,90.71,88.05,89.48,5722100,81.55
2003-10-20,89.35,89.40,87.53,88.42,5875300,80.58
2003-10-13,93.10,94.54,88.66,89.23,9519500,81.32
2003-10-06,90.74,93.60,90.40,92.67,5545500,84.45
2003-09-29,89.25,91.95,87.90,90.64,7122500,82.60
2003-09-22,92.24,92.24,89.00,89.05,6898900,81.15
2003-09-15,89.70,93.47,88.39,93.28,8407800,85.01
2003-09-08,88.45,89.97,86.40,88.70,8320200,80.83
2003-09-02,82.40,88.29,82.30,86.95,10256900,79.24
2003-08-25,82.85,83.03,81.27,82.01,4858700,74.74
2003-08-18,82.05,84.72,81.90,82.97,6123100,75.61
2003-08-11,80.87,82.19,80.28,81.79,4444000,74.54
2003-08-04,80.75,81.36,78.73,80.88,6058100,73.71
2003-07-28,83.67,83.70,80.05,81.27,6977300,73.91
2003-07-21,83.20,83.74,81.51,83.55,6634200,75.99
2003-07-14,86.00,87.03,82.50,83.72,9057200,76.14
2003-07-07,84.80,86.75,83.47,84.89,6448400,77.21
2003-06-30,83.90,84.89,81.40,83.95,5688900,76.35
2003-06-23,84.79,84.79,82.09,83.42,5565900,75.87
2003-06-16,83.10,85.29,82.55,84.92,7496800,77.23
2003-06-09,80.00,84.98,79.81,82.75,8253600,75.26
2003-06-02,89.00,89.08,79.84,80.05,13991000,72.81
2003-05-27,84.51,88.70,84.51,88.04,6696600,80.07
2003-05-19,88.05,88.47,84.89,85.26,6567100,77.54
2003-05-12,87.55,90.40,87.10,88.99,7760100,80.94
2003-05-05,87.20,88.34,85.75,87.55,7051500,79.63
2003-04-28,84.05,87.57,83.62,87.57,7871800,79.50
2003-04-21,84.40,86.06,82.60,83.88,7212900,76.15
2003-04-14,78.50,84.40,78.16,84.26,10553000,76.49
2003-04-07,82.60,82.90,78.13,78.75,7987100,71.49
2003-03-31,79.26,83.48,78.12,80.79,9267800,73.34
2003-03-24,82.46,84.00,80.50,80.85,8515200,73.40
2003-03-17,78.00,84.90,77.84,84.90,11626600,77.08
2003-03-10,77.45,79.48,73.17,79.00,9620800,71.72
2003-03-03,78.90,79.00,75.71,77.90,6590800,70.72
2003-02-24,79.70,79.99,76.75,77.95,7929800,70.77
2003-02-18,78.02,80.05,77.91,79.95,6742600,72.58
2003-02-10,77.10,78.97,74.31,77.45,8334800,70.31
2003-02-03,78.20,78.90,76.25,77.10,7475700,69.99
2003-01-27,77.99,81.30,77.02,78.20,8434700,70.85
2003-01-21,81.30,81.85,78.82,78.99,8619600,71.57
2003-01-13,88.31,88.95,81.18,81.30,10690000,73.66
2003-01-06,81.90,88.04,81.81,87.68,10000800,79.44
2002-12-30,77.00,81.65,75.60,81.65,7441200,73.98
2002-12-23,79.75,81.50,76.61,77.36,5115200,70.09
2002-12-16,79.60,81.79,78.24,79.79,7307800,72.30
2002-12-09,81.00,82.48,78.27,80.00,7471000,72.49
2002-12-02,88.60,89.46,81.07,82.32,8254000,74.59
2002-11-25,84.63,88.11,83.52,86.92,7100600,78.76
2002-11-18,80.80,85.17,77.84,84.43,9020200,76.50
2002-11-11,77.59,80.99,76.70,80.01,9885800,72.49
2002-11-04,81.99,83.81,77.20,77.59,10421900,70.30
2002-10-28,75.15,80.50,74.20,80.40,11225000,72.71
2002-10-21,73.65,75.90,71.75,74.56,10345400,67.43
2002-10-14,61.54,74.25,61.54,74.25,14450600,67.15
2002-10-07,56.60,63.92,54.01,63.92,13413300,57.81
2002-09-30,59.55,62.00,55.77,56.60,12173800,51.19
2002-09-23,63.75,64.88,59.55,60.36,11873600,54.59
2002-09-16,72.00,73.45,63.90,63.92,11946600,57.81
2002-09-09,72.45,77.50,71.31,72.50,5874900,65.57
2002-09-03,74.20,75.00,71.50,73.20,6042000,66.20
2002-08-26,80.40,80.89,75.10,75.38,6307100,68.17
2002-08-19,79.35,82.85,79.01,80.40,7519800,72.71
2002-08-12,71.05,79.98,70.61,79.35,8508800,71.76
2002-08-05,67.94,74.30,65.85,71.83,7779200,64.96
2002-07-29,70.37,72.70,67.12,67.88,10104700,61.26
2002-07-22,71.25,72.19,65.70,66.40,12800800,59.92
2002-07-15,68.40,74.20,66.60,72.00,11873700,64.97
2002-07-08,73.00,73.48,67.55,69.21,10065100,62.46
2002-07-01,72.01,73.90,67.16,73.50,9445400,66.33
2002-06-24,67.25,73.62,66.10,72.00,11268400,64.97
2002-06-17,76.18,77.75,68.19,68.75,10226500,62.04
2002-06-10,77.75,78.80,73.25,76.17,9165300,68.74
2002-06-03,80.75,80.95,77.00,78.30,7535700,70.66
2002-05-28,82.80,83.11,80.22,80.45,5392900,72.60
2002-05-20,85.45,85.46,82.52,83.10,5002500,74.99
2002-05-13,80.25,86.49,79.50,85.69,7469500,77.33
2002-05-06,81.70,83.00,75.92,79.68,12272600,71.90
2002-04-29,84.71,85.23,81.11,81.78,8572500,73.65
2002-04-22,88.95,89.08,84.70,84.71,6395300,76.29
2002-04-15,86.50,90.03,84.00,89.00,10372100,80.16
2002-04-08,87.50,89.95,83.34,85.60,22179500,77.09
2002-04-01,104.00,104.00,97.25,97.25,7269700,87.59
2002-03-25,105.80,106.66,102.30,104.00,6342900,93.67
2002-03-18,107.10,108.64,104.70,105.60,5076200,95.11
2002-03-11,104.35,108.85,103.60,106.79,8461400,96.18
2002-03-04,103.35,107.50,103.13,105.09,9543100,94.65
2002-02-25,98.45,103.10,95.99,103.02,10389500,92.78
2002-02-19,101.50,101.80,95.76,98.45,12131100,88.67
2002-02-11,105.00,109.15,101.70,102.89,7987900,92.67
2002-02-04,108.00,108.50,102.61,104.99,7120500,94.56
2002-01-28,109.50,110.21,101.00,108.00,11198400,97.14
2002-01-22,114.25,114.26,107.00,109.28,9507600,98.29
2002-01-14,120.00,120.55,112.81,114.25,10126900,102.76
2002-01-07,125.00,126.39,120.28,120.31,6363000,108.21
2001-12-31,122.75,125.60,119.80,125.60,6850600,112.97
2001-12-24,122.05,123.93,121.10,122.90,3362500,110.54
2001-12-17,120.15,124.70,120.15,122.00,6971800,109.73
2001-12-10,120.00,123.21,119.41,121.10,7287800,108.92
2001-12-03,114.80,121.98,113.21,120.40,9026500,108.29
2001-11-26,115.90,116.40,111.81,115.59,5927200,103.97
2001-11-19,114.70,116.80,113.05,115.35,4320500,103.75
